# Engine name: MASA Hybrid
# Fri Dec 2 19:39:07 2016
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.0000     50.0000      0.0000      1.0000      0.0000   1429.8869     18.4016      1.2800      1.2748   1214.4749    120.4320    163.8633      0.9725      1.3232      1.0000 
     2.0000     60.0000      0.0000      1.0000      0.0000   1432.0114     18.4151      1.2792      1.2733   1215.8013    128.1101    167.7859      1.0333      1.3534      1.0000 
     2.0000     70.0000      0.0000      1.0000      0.0000   1434.0650     18.4282      1.2786      1.2718   1217.0167    134.1377    171.1941      1.0809      1.3795      1.0000 
     2.0000     80.0000      0.0000      1.0000      0.0000   1436.0532     18.4409      1.2781      1.2704   1218.1386    139.0720    174.1708      1.1196      1.4022      1.0000 
     2.0000     90.0000      0.0000      1.0000      0.0000   1437.9805     18.4533      1.2776      1.2691   1219.1806    143.2321    176.7964      1.1521      1.4221      1.0000 
     2.0000    100.0000      0.0000      1.0000      0.0000   1439.8510     18.4653      1.2771      1.2679   1220.1536    146.8172    179.1359      1.1800      1.4398      1.0000 
     2.0000    110.0000      0.0000      1.0000      0.0000   1441.6684     18.4770      1.2767      1.2667   1221.0661    149.9594    181.2399      1.2044      1.4556      1.0000 
     2.0000    120.0000      0.0000      1.0000      0.0000   1443.4361     18.4884      1.2763      1.2657   1221.9255    152.7507    183.1479      1.2259      1.4699      1.0000 
     2.0000    130.0000      0.0000      1.0000      0.0000   1445.1570     18.4995      1.2760      1.2646   1222.7376    155.2577    184.8905      1.2452      1.4829      1.0000 
     2.0000    140.0000      0.0000      1.0000      0.0000   1446.8338     18.5104      1.2757      1.2637   1223.5075    157.5298    186.4924      1.2626      1.4948      1.0000 
     2.0000    150.0000      0.0000      1.0000      0.0000   1448.4691     18.5211      1.2754      1.2628   1224.2393    159.6049    187.9731      1.2785      1.5057      1.0000 
     2.0000    160.0000      0.0000      1.0000      0.0000   1450.0650     18.5315      1.2752      1.2619   1224.9367    161.5127    189.3486      1.2930      1.5159      1.0000 
     2.0000    170.0000      0.0000      1.0000      0.0000   1451.6237     18.5417      1.2750      1.2611   1225.6028    163.2766    190.6318      1.3065      1.5253      1.0000 
     2.0000    180.0000      0.0000      1.0000      0.0000   1453.1471     18.5517      1.2748      1.2603   1226.2404    164.9156    191.8338      1.3189      1.5342      1.0000 
     2.0000    190.0000      0.0000      1.0000      0.0000   1454.6370     18.5614      1.2746      1.2595   1226.8518    166.4452    192.9635      1.3305      1.5424      1.0000 
     2.0000    200.0000      0.0000      1.0000      0.0000   1456.0948     18.5710      1.2745      1.2588   1227.4391    167.8783    194.0287      1.3413      1.5502      1.0000 
     2.0000    210.0000      0.0000      1.0000      0.0000   1457.5223     18.5804      1.2743      1.2581   1228.0041    169.2257    195.0359      1.3514      1.5575      1.0000 
     2.0000    220.0000      0.0000      1.0000      0.0000   1458.9206     18.5897      1.2742      1.2574   1228.5484    170.4963    195.9908      1.3610      1.5645      1.0000 
     2.0000    230.0000      0.0000      1.0000      0.0000   1460.2912     18.5987      1.2741      1.2568   1229.0736    171.6980    196.8982      1.3700      1.5710      1.0000 
     2.0000    240.0000      0.0000      1.0000      0.0000   1461.6353     18.6076      1.2740      1.2562   1229.5810    172.8375    197.7624      1.3785      1.5773      1.0000 
     2.0000    250.0000      0.0000      1.0000      0.0000   1462.9539     18.6164      1.2739      1.2556   1230.0716    173.9205    198.5870      1.3866      1.5832      1.0000 
     2.0000    260.0000      0.0000      1.0000      0.0000   1464.2482     18.6250      1.2738      1.2550   1230.5467    174.9519    199.3754      1.3943      1.5889      1.0000 
     2.0000    270.0000      0.0000      1.0000      0.0000   1465.5190     18.6335      1.2738      1.2545   1231.0071    175.9363    200.1304      1.4016      1.5943      1.0000 
     2.0000    280.0000      0.0000      1.0000      0.0000   1466.7674     18.6418      1.2737      1.2539   1231.4538    176.8774    200.8545      1.4086      1.5995      1.0000 
     2.0000    290.0000      0.0000      1.0000      0.0000   1467.9942     18.6500      1.2736      1.2534   1231.8875    177.7787    201.5501      1.4152      1.6045      1.0000 
     2.0000    300.0000      0.0000      1.0000      0.0000   1469.2002     18.6581      1.2736      1.2529   1232.3090    178.6432    202.2192      1.4216      1.6092      1.0000 
     2.0000    310.0000      0.0000      1.0000      0.0000   1470.3862     18.6661      1.2736      1.2525   1232.7189    179.4735    202.8636      1.4278      1.6138      1.0000 
     2.0000    320.0000      0.0000      1.0000      0.0000   1471.5529     18.6739      1.2735      1.2520   1233.1179    180.2722    203.4850      1.4337      1.6183      1.0000 
     2.0000    330.0000      0.0000      1.0000      0.0000   1472.7010     18.6816      1.2735      1.2516   1233.5065    181.0415    204.0849      1.4393      1.6225      1.0000 
     2.0000    340.0000      0.0000      1.0000      0.0000   1473.8311     18.6892      1.2735      1.2511   1233.8852    181.7832    204.6646      1.4448      1.6266      1.0000 
     2.0000    350.0000      0.0000      1.0000      0.0000   1474.9438     18.6968      1.2735      1.2507   1234.2546    182.4992    205.2254      1.4500      1.6306      1.0000 
     2.0000    360.0000      0.0000      1.0000      0.0000   1476.0398     18.7042      1.2735      1.2503   1234.6151    183.1910    205.7684      1.4551      1.6344      1.0000 
     2.0000    370.0000      0.0000      1.0000      0.0000   1477.1196     18.7115      1.2734      1.2499   1234.9671    183.8602    206.2946      1.4600      1.6381      1.0000 
     2.0000    380.0000      0.0000      1.0000      0.0000   1478.1837     18.7187      1.2734      1.2495   1235.3110    184.5081    206.8050      1.4647      1.6417      1.0000 
     2.0000    390.0000      0.0000      1.0000      0.0000   1479.2326     18.7258      1.2734      1.2491   1235.6472    185.1360    207.3005      1.4693      1.6452      1.0000 
     2.0000    400.0000      0.0000      1.0000      0.0000   1480.2667     18.7328      1.2734      1.2488   1235.9760    185.7449    207.7818      1.4738      1.6486      1.0000 
     2.0000    410.0000      0.0000      1.0000      0.0000   1481.2866     18.7398      1.2735      1.2484   1236.2977    186.3359    208.2497      1.4781      1.6519      1.0000 
