# Engine name: SSI Liquid - Kerosene
# Fri Jan 5 21:27:23 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000     50.0000      0.0000      0.8660      0.0000    907.1782     19.3452      1.2489      1.1373    981.8214    101.1434    135.1515      1.0102      1.3499      1.0000 
     0.5000    100.0000      0.0000      0.8660      0.0000    941.8154     19.7767      1.2473      1.1373    989.3824    122.6132    148.8273      1.2153      1.4752      1.0000 
     0.5000    150.0000      0.0000      0.8660      0.0000    962.6054     20.0443      1.2454      1.1372    993.5782    133.1416    156.3322      1.3141      1.5430      1.0000 
     0.5000    200.0000      0.0000      0.8660      0.0000    977.5495     20.2408      1.2435      1.1370    996.4410    139.9450    161.3831      1.3773      1.5883      1.0000 
     0.5000    250.0000      0.0000      0.8660      0.0000    989.2315     20.3969      1.2418      1.1367    998.5916    144.8986    165.1444      1.4230      1.6218      1.0000 
     0.5000    300.0000      0.0000      0.8660      0.0000    998.8241     20.5268      1.2402      1.1365   1000.3011    148.7580    168.1184      1.4584      1.6482      1.0000 
     0.5000    350.0000      0.0000      0.8660      0.0000   1006.9612     20.6382      1.2387      1.1363   1001.7119    151.8995    170.5650      1.4871      1.6698      1.0000 
     0.5000    400.0000      0.0000      0.8660      0.0000   1014.0251     20.7358      1.2373      1.1361   1002.9075    154.5363    172.6351      1.5111      1.6881      1.0000 
     0.5000    450.0000      0.0000      0.8660      0.0000   1020.2644     20.8227      1.2360      1.1358   1003.9400    156.8003    174.4240      1.5317      1.7038      1.0000 
     0.5000    500.0000      0.0000      0.8660      0.0000   1025.8501     20.9011      1.2348      1.1357   1004.8492    158.7785    175.9953      1.5496      1.7176      1.0000 
     0.5000    550.0000      0.0000      0.8660      0.0000   1030.9049     20.9726      1.2337      1.1355   1005.6564    160.5312    177.3935      1.5654      1.7299      1.0000 
     0.5000    600.0000      0.0000      0.8660      0.0000   1035.5197     21.0382      1.2326      1.1353   1006.3817    162.1018    178.6512      1.5796      1.7409      1.0000 
     0.5000    650.0000      0.0000      0.8660      0.0000   1039.7639     21.0989      1.2316      1.1351   1007.0388    163.5223    179.7924      1.5924      1.7508      1.0000 
     0.5000    700.0000      0.0000      0.8660      0.0000   1043.6918     21.1554      1.2306      1.1349   1007.6385    164.8174    180.8357      1.6041      1.7599      1.0000 
