# Engine name: SSI Liquid - IPA
# Sun Oct 29 12:05:59 2017
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.0000    110.0000      0.0000      1.0000      0.0000   1106.6303     17.7250      1.2471      1.1538   1076.2831    125.2264    155.7285      1.2041      1.4691      0.9208 
     1.0000    120.0000      0.0000      1.0000      0.0000   1111.8000     17.7598      1.2484      1.1542   1078.5595    127.9352    157.6055      1.2268      1.4842      0.9213 
     1.0000    130.0000      0.0000      1.0000      0.0000   1116.5981     17.7922      1.2496      1.1546   1080.6555    130.3736    159.3203      1.2471      1.4980      0.9217 
     1.0000    140.0000      0.0000      1.0000      0.0000   1121.0767     17.8227      1.2506      1.1549   1082.5976    132.5851    160.8944      1.2655      1.5105      0.9222 
     1.0000    150.0000      0.0000      1.0000      0.0000   1125.2778     17.8514      1.2516      1.1552   1084.4068    134.6053    162.3470      1.2821      1.5221      0.9225 
     1.0000    160.0000      0.0000      1.0000      0.0000   1129.2351     17.8785      1.2525      1.1556   1086.1002    136.4649    163.6965      1.2974      1.5328      0.9229 
     1.0000    170.0000      0.0000      1.0000      0.0000   1132.9767     17.9043      1.2533      1.1558   1087.6918    138.1851    164.9548      1.3115      1.5427      0.9233 
     1.0000    180.0000      0.0000      1.0000      0.0000   1136.5259     17.9289      1.2541      1.1561   1089.1929    139.7833    166.1319      1.3246      1.5519      0.9236 
     1.0000    190.0000      0.0000      1.0000      0.0000   1139.9024     17.9523      1.2548      1.1563   1090.6135    141.2758    167.2381      1.3367      1.5605      0.9239 
     1.0000    200.0000      0.0000      1.0000      0.0000   1143.1230     17.9748      1.2554      1.1566   1091.9616    142.6744    168.2806      1.3481      1.5687      0.9242 
     1.0000    210.0000      0.0000      1.0000      0.0000   1146.2021     17.9963      1.2561      1.1568   1093.2444    143.9895    169.2659      1.3587      1.5763      0.9245 
     1.0000    220.0000      0.0000      1.0000      0.0000   1149.1521     18.0170      1.2567      1.1570   1094.4677    145.2299    170.1996      1.3687      1.5835      0.9247 
     1.0000    230.0000      0.0000      1.0000      0.0000   1151.9839     18.0370      1.2572      1.1572   1095.6370    146.4039    171.0871      1.3782      1.5904      0.9250 
     1.0000    240.0000      0.0000      1.0000      0.0000   1154.7071     18.0562      1.2578      1.1574   1096.7566    147.5169    171.9318      1.3871      1.5969      0.9252 
     1.0000    250.0000      0.0000      1.0000      0.0000   1157.3299     18.0748      1.2583      1.1576   1097.8308    148.5754    172.7382      1.3956      1.6031      0.9254 
     1.0000    260.0000      0.0000      1.0000      0.0000   1159.8599     18.0927      1.2588      1.1578   1098.8630    149.5841    173.5093      1.4036      1.6090      0.9257 
     1.0000    270.0000      0.0000      1.0000      0.0000   1162.3037     18.1101      1.2592      1.1579   1099.8563    150.5469    174.2477      1.4113      1.6146      0.9259 
     1.0000    280.0000      0.0000      1.0000      0.0000   1164.6672     18.1270      1.2597      1.1581   1100.8137    151.4674    174.9557      1.4186      1.6200      0.9261 
     1.0000    290.0000      0.0000      1.0000      0.0000   1166.9558     18.1434      1.2601      1.1582   1101.7375    152.3488    175.6353      1.4256      1.6251      0.9263 
     1.0000    300.0000      0.0000      1.0000      0.0000   1169.1742     18.1593      1.2605      1.1584   1102.6300    153.1946    176.2894      1.4322      1.6301      0.9265 
     1.0000    310.0000      0.0000      1.0000      0.0000   1171.3269     18.1748      1.2608      1.1585   1103.4934    154.0073    176.9194      1.4387      1.6349      0.9267 
     1.0000    320.0000      0.0000      1.0000      0.0000   1173.4177     18.1898      1.2612      1.1586   1104.3293    154.7890    177.5267      1.4448      1.6394      0.9269 
     1.0000    330.0000      0.0000      1.0000      0.0000   1175.4503     18.2045      1.2616      1.1588   1105.1396    155.5417    178.1127      1.4507      1.6438      0.9270 
     1.0000    340.0000      0.0000      1.0000      0.0000   1177.4280     18.2188      1.2619      1.1589   1105.9257    156.2673    178.6788      1.4564      1.6481      0.9272 
     1.0000    350.0000      0.0000      1.0000      0.0000   1179.3537     18.2327      1.2622      1.1590   1106.6890    156.9679    179.2264      1.4619      1.6522      0.9274 
     1.0000    360.0000      0.0000      1.0000      0.0000   1181.2304     18.2464      1.2625      1.1591   1107.4308    157.6448    179.7565      1.4672      1.6562      0.9275 
     1.0000    370.0000      0.0000      1.0000      0.0000   1183.0604     18.2597      1.2628      1.1592   1108.1523    158.2996    180.2701      1.4723      1.6600      0.9277 
     1.0000    380.0000      0.0000      1.0000      0.0000   1184.8461     18.2727      1.2631      1.1594   1108.8545    158.9335    180.7682      1.4773      1.6637      0.9278 
     1.0000    390.0000      0.0000      1.0000      0.0000   1186.5898     18.2854      1.2634      1.1595   1109.5385    159.5484    181.2522      1.4820      1.6673      0.9280 
     1.0000    400.0000      0.0000      1.0000      0.0000   1188.2935     18.2979      1.2637      1.1596   1110.2051    160.1448    181.7224      1.4867      1.6708      0.9281 
     1.0000    410.0000      0.0000      1.0000      0.0000   1189.9589     18.3101      1.2639      1.1597   1110.8553    160.7237    182.1795      1.4912      1.6742      0.9283 
     1.0000    420.0000      0.0000      1.0000      0.0000   1191.5880     18.3220      1.2642      1.1598   1111.4897    161.2860    182.6240      1.4955      1.6775      0.9284 
     1.0000    430.0000      0.0000      1.0000      0.0000   1193.1822     18.3337      1.2644      1.1598   1112.1092    161.8325    183.0567      1.4997      1.6807      0.9286 
     1.0000    440.0000      0.0000      1.0000      0.0000   1194.7431     18.3452      1.2646      1.1599   1112.7145    162.3641    183.4781      1.5038      1.6838      0.9287 
     1.0000    450.0000      0.0000      1.0000      0.0000   1196.2722     18.3565      1.2649      1.1600   1113.3060    162.8816    183.8888      1.5078      1.6868      0.9288 
     1.0000    460.0000      0.0000      1.0000      0.0000   1197.7707     18.3676      1.2651      1.1601   1113.8846    163.3855    184.2893      1.5117      1.6897      0.9289 
     1.0000    470.0000      0.0000      1.0000      0.0000   1199.2399     18.3784      1.2653      1.1602   1114.4507    163.8766    184.6799      1.5155      1.6926      0.9291 
     1.0000    480.0000      0.0000      1.0000      0.0000   1200.6809     18.3891      1.2655      1.1603   1115.0048    164.3554    185.0612      1.5192      1.6954      0.9292 
     1.0000    490.0000      0.0000      1.0000      0.0000   1202.0950     18.3996      1.2657      1.1604   1115.5474    164.8226    185.4337      1.5227      1.6981      0.9293 
     1.0000    500.0000      0.0000      1.0000      0.0000   1203.4830     18.4099      1.2659      1.1604   1116.0791    165.2788    185.7978      1.5262      1.7008      0.9294 
     1.0000    510.0000      0.0000      1.0000      0.0000   1204.8460     18.4200      1.2661      1.1605   1116.6001    165.7243    186.1538      1.5296      1.7034      0.9295 
     1.0000    520.0000      0.0000      1.0000      0.0000   1206.1849     18.4300      1.2663      1.1606   1117.1110    166.1596    186.5019      1.5330      1.7059      0.9296 
     1.0000    530.0000      0.0000      1.0000      0.0000   1207.5006     18.4398      1.2664      1.1606   1117.6122    166.5851    186.8425      1.5362      1.7084      0.9297 
     1.0000    540.0000      0.0000      1.0000      0.0000   1208.7938     18.4494      1.2666      1.1607   1118.1039    167.0014    187.1760      1.5394      1.7108      0.9299 
     1.0000    550.0000      0.0000      1.0000      0.0000   1210.0654     18.4589      1.2668      1.1608   1118.5866    167.4087    187.5027      1.5425      1.7132      0.9300 
     1.0000    560.0000      0.0000      1.0000      0.0000   1211.3162     18.4683      1.2669      1.1608   1119.0605    167.8073    187.8227      1.5455      1.7155      0.9301 
     1.0000    570.0000      0.0000      1.0000      0.0000   1212.5467     18.4775      1.2671      1.1609   1119.5259    168.1977    188.1363      1.5485      1.7178      0.9302 
     1.0000    580.0000      0.0000      1.0000      0.0000   1213.7578     18.4866      1.2672      1.1610   1119.9833    168.5801    188.4437      1.5514      1.7200      0.9303 
     1.0000    590.0000      0.0000      1.0000      0.0000   1214.9499     18.4955      1.2674      1.1610   1120.4328    168.9548    188.7452      1.5542      1.7222      0.9304 
     1.0000    600.0000      0.0000      1.0000      0.0000   1216.1237     18.5044      1.2675      1.1611   1120.8746    169.3220    189.0408      1.5570      1.7243      0.9305 
     1.0000    610.0000      0.0000      1.0000      0.0000   1217.2799     18.5131      1.2677      1.1612   1121.3092    169.6820    189.3310      1.5597      1.7264      0.9305 
     1.0000    620.0000      0.0000      1.0000      0.0000   1218.4188     18.5216      1.2678      1.1612   1121.7366    170.0352    189.6157      1.5624      1.7285      0.9306 
     1.0000    630.0000      0.0000      1.0000      0.0000   1219.5411     18.5301      1.2680      1.1613   1122.1571    170.3817    189.8953      1.5650      1.7305      0.9307 
     1.0000    640.0000      0.0000      1.0000      0.0000   1220.6473     18.5384      1.2681      1.1613   1122.5710    170.7219    190.1700      1.5676      1.7325      0.9308 
     1.0000    650.0000      0.0000      1.0000      0.0000   1221.7378     18.5467      1.2682      1.1614   1122.9784    171.0559    190.4399      1.5701      1.7344      0.9309 
     1.0000    660.0000      0.0000      1.0000      0.0000   1222.8130     18.5548      1.2683      1.1614   1123.3795    171.3840    190.7052      1.5725      1.7363      0.9310 
     1.0000    670.0000      0.0000      1.0000      0.0000   1223.8735     18.5628      1.2685      1.1615   1123.7745    171.7063    190.9659      1.5750      1.7382      0.9311 
     1.0000    680.0000      0.0000      1.0000      0.0000   1224.9196     18.5708      1.2686      1.1615   1124.1637    172.0229    191.2223      1.5773      1.7400      0.9312 
     1.0000    690.0000      0.0000      1.0000      0.0000   1225.9518     18.5786      1.2687      1.1616   1124.5471    172.3343    191.4745      1.5797      1.7418      0.9312 
     1.0000    700.0000      0.0000      1.0000      0.0000   1226.9703     18.5863      1.2688      1.1616   1124.9250    172.6405    191.7228      1.5820      1.7436      0.9313 
     1.0000    710.0000      0.0000      1.0000      0.0000   1227.9756     18.5940      1.2689      1.1617   1125.2975    172.9416    191.9670      1.5842      1.7453      0.9314 
     1.0000    720.0000      0.0000      1.0000      0.0000   1228.9681     18.6015      1.2690      1.1617   1125.6647    173.2378    192.2074      1.5864      1.7470      0.9315 
     1.0000    730.0000      0.0000      1.0000      0.0000   1229.9480     18.6090      1.2691      1.1618   1126.0268    173.5292    192.4440      1.5886      1.7487      0.9316 
     1.0000    740.0000      0.0000      1.0000      0.0000   1230.9157     18.6163      1.2692      1.1618   1126.3839    173.8159    192.6769      1.5908      1.7504      0.9316 
     1.0000    750.0000      0.0000      1.0000      0.0000   1231.8715     18.6236      1.2693      1.1619   1126.7362    174.0981    192.9063      1.5929      1.7520      0.9317 
     1.0000    760.0000      0.0000      1.0000      0.0000   1232.8157     18.6308      1.2694      1.1619   1127.0838    174.3759    193.1322      1.5949      1.7536      0.9318 
     1.0000    770.0000      0.0000      1.0000      0.0000   1233.7486     18.6380      1.2695      1.1619   1127.4268    174.6494    193.3547      1.5970      1.7552      0.9319 
     1.0000    780.0000      0.0000      1.0000      0.0000   1234.6704     18.6450      1.2696      1.1620   1127.7653    174.9188    193.5740      1.5990      1.7568      0.9319 
