# Engine name: SSI Liquid - Kerosene
# Sun Jan 21 21:30:38 2018
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000     50.0000      0.0000      1.0000      0.0000    926.0110     21.0904      1.2433      1.1328    951.4494         nan         nan         nan         nan      1.0000 
     0.5000    100.0000      0.0000      1.0000      0.0000    960.7845     21.5725      1.2432      1.1328    958.2317         nan         nan         nan         nan      1.0000 
     0.5000    150.0000      0.0000      1.0000      0.0000    981.7228     21.8726      1.2419      1.1326    961.9895         nan         nan         nan         nan      1.0000 
     0.5000    200.0000      0.0000      1.0000      0.0000    996.8027     22.0935      1.2405      1.1324    964.5493         nan         nan         nan         nan      1.0000 
     0.5000    250.0000      0.0000      1.0000      0.0000   1008.6078     22.2693      1.2391      1.1321    966.4694         nan         nan         nan         nan      1.0000 
     0.5000    300.0000      0.0000      1.0000      0.0000   1018.3125     22.4158      1.2377      1.1319    967.9936         nan         nan         nan         nan      1.0000 
     0.5000    350.0000      0.0000      1.0000      0.0000   1026.5525     22.5415      1.2364      1.1316    969.2496      8.6752    318.5866      0.0878      3.2234      1.0000 
     0.5000    400.0000      0.0000      1.0000      0.0000   1033.7115     22.6518      1.2352      1.1314    970.3127     30.5174    117.1615      0.3084      1.1841      1.0000 
     0.5000    450.0000      0.0000      1.0000      0.0000   1040.0393     22.7501      1.2340      1.1312    971.2307     40.9013    104.6048      0.4130      1.0562      1.0000 
     0.5000    500.0000      0.0000      1.0000      0.0000   1045.7078     22.8389      1.2329      1.1310    972.0360     48.2264    101.5494      0.4865      1.0245      1.0000 
     0.5000    550.0000      0.0000      1.0000      0.0000   1050.8404     22.9198      1.2319      1.1308    972.7512     53.9257    101.0526      0.5436      1.0187      1.0000 
     0.5000    600.0000      0.0000      1.0000      0.0000   1055.5287     22.9942      1.2309      1.1306    973.3931     58.5889    101.5022      0.5903      1.0226      1.0000 
     0.5000    650.0000      0.0000      1.0000      0.0000   1059.8426     23.0630      1.2299      1.1304    973.9763     62.5277    102.3462      0.6296      1.0305      1.0000 
     0.5000    700.0000      0.0000      1.0000      0.0000   1063.8368     23.1271      1.2290      1.1302    974.5038     65.9296    103.3559      0.6635      1.0401      1.0000 
     0.5000    750.0000      0.0000      1.0000      0.0000   1067.5546     23.1870      1.2282      1.1300    974.9898     68.9173    104.4260      0.6932      1.0503      1.0000 
     0.5000    800.0000      0.0000      1.0000      0.0000   1071.0313     23.2433      1.2273      1.1299    975.4382     71.5758    105.5047      0.7196      1.0607      1.0000 
     0.5000    850.0000      0.0000      1.0000      0.0000   1074.2956     23.2964      1.2265      1.1297    975.8539     73.9665    106.5657      0.7433      1.0709      1.0000 
     0.5000    900.0000      0.0000      1.0000      0.0000   1077.3716     23.3466      1.2258      1.1295    976.2408     76.1353    107.5961      0.7648      1.0808      1.0000 
     0.5000    950.0000      0.0000      1.0000      0.0000   1080.2793     23.3943      1.2250      1.1294    976.6023     78.1174    108.5896      0.7844      1.0904      1.0000 
     0.5000   1000.0000      0.0000      1.0000      0.0000   1083.0357     23.4397      1.2243      1.1292    976.9413     79.9403    109.5441      0.8025      1.0996      1.0000 
     0.6000     50.0000      0.0000      1.0000      0.0000    958.5801     20.4812      1.2427      1.1345    982.0116     96.0727    132.5711      0.9594      1.3239      1.0000 
     0.6000    100.0000      0.0000      1.0000      0.0000    994.6820     20.9347      1.2459      1.1352    989.1999    118.7627    146.3946      1.1774      1.4513      1.0000 
     0.6000    150.0000      0.0000      1.0000      0.0000   1016.6193     21.2197      1.2466      1.1354    993.2342    129.7665    154.0800      1.2812      1.5213      1.0000 
     0.6000    200.0000      0.0000      1.0000      0.0000   1032.5150     21.4307      1.2465      1.1354    996.0059         nan         nan         nan         nan      1.0000 
     0.6000    250.0000      0.0000      1.0000      0.0000   1045.0167     21.5995      1.2461      1.1353    998.0982     27.7850    135.6323      0.2730      1.3326      1.0000 
     0.6000    300.0000      0.0000      1.0000      0.0000   1055.3331     21.7406      1.2455      1.1352    999.7678     45.6329    109.8213      0.4476      1.0772      1.0000 
     0.6000    350.0000      0.0000      1.0000      0.0000   1064.1208     21.8621      1.2448      1.1351   1001.1499     56.2538    107.3189      0.5510      1.0512      1.0000 
     0.6000    400.0000      0.0000      1.0000      0.0000   1071.7773     21.9691      1.2441      1.1350   1002.3245     63.8970    108.0947      0.6252      1.0576      1.0000 
     0.6000    450.0000      0.0000      1.0000      0.0000   1078.5619     22.0646      1.2434      1.1349   1003.3426     69.8445    109.6717      0.6827      1.0719      1.0000 
     0.6000    500.0000      0.0000      1.0000      0.0000   1084.6536     22.1511      1.2428      1.1347   1004.2386     74.6878    111.4296      0.7293      1.0881      1.0000 
     0.6000    550.0000      0.0000      1.0000      0.0000   1090.1809     22.2301      1.2421      1.1346   1005.0368     78.7542    113.1724      0.7684      1.1043      1.0000 
     0.6000    600.0000      0.0000      1.0000      0.0000   1095.2395     22.3028      1.2414      1.1344   1005.7552     82.2451    114.8340      0.8019      1.1197      1.0000 
