Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
183.15	0.092363	1235.0	0.00080975	-2.7150	-2.6402	-0.014316	0.95983	1.7182	1144.3	-0.26593	undefined	undefined	0.024097	2.7363	0.36546	339.61	373.37	2.0387	0.58247	0.79813	212.23	44.029	undefined	undefined
184.15	0.098131	1232.0	0.00081168	-0.99884	-0.91919	-0.0049702	0.95845	1.7187	1137.9	-0.26430	undefined	undefined	0.023857	2.8946	0.34547	340.06	373.96	2.0308	0.58501	0.80192	212.60	43.356	undefined	undefined
185.15	0.10418	1229.1	0.00081362	0.71781	0.80257	0.0043276	0.95710	1.7193	1131.4	-0.26262	undefined	undefined	0.023617	3.0600	0.32680	340.51	374.56	2.0230	0.58758	0.80578	212.96	42.694	undefined	undefined
186.15	0.11052	1226.1	0.00081558	2.4350	2.5251	0.013578	0.95578	1.7200	1125.0	-0.26089	undefined	undefined	0.023378	3.2327	0.30934	340.96	375.15	2.0153	0.59018	0.80972	213.32	42.044	undefined	undefined
187.15	0.11716	1223.2	0.00081755	4.1527	4.2485	0.022783	0.95448	1.7208	1118.5	-0.25911	undefined	undefined	0.023140	3.4128	0.29302	341.41	375.74	2.0078	0.59280	0.81373	213.66	41.405	undefined	undefined
188.15	0.12411	1220.2	0.00081954	5.8711	5.9728	0.031941	0.95320	1.7216	1112.1	-0.25729	undefined	undefined	0.022902	3.6006	0.27773	341.85	376.32	2.0003	0.59546	0.81780	214.00	40.777	undefined	undefined
189.15	0.13138	1217.2	0.00082154	7.5902	7.6981	0.041055	0.95195	1.7226	1105.7	-0.25541	undefined	undefined	0.022664	3.7963	0.26341	342.29	376.90	1.9929	0.59814	0.82195	214.34	40.160	undefined	undefined
190.15	0.13898	1214.2	0.00082356	9.3100	9.4245	0.050125	0.95072	1.7235	1099.3	-0.25347	undefined	undefined	0.022427	4.0002	0.24999	342.73	377.47	1.9857	0.60085	0.82618	214.66	39.554	undefined	undefined
191.15	0.14692	1211.3	0.00082559	11.031	11.152	0.059152	0.94952	1.7246	1092.9	-0.25149	undefined	undefined	0.022191	4.2124	0.23739	343.16	378.04	1.9785	0.60358	0.83047	214.98	38.959	undefined	undefined
192.15	0.15521	1208.3	0.00082764	12.752	12.881	0.068136	0.94834	1.7257	1086.5	-0.24945	undefined	undefined	0.021955	4.4332	0.22557	343.60	378.61	1.9715	0.60634	0.83484	215.29	38.375	undefined	undefined
193.15	0.16386	1205.2	0.00082971	14.475	14.611	0.077079	0.94718	1.7269	1080.1	-0.24736	undefined	undefined	0.021719	4.6629	0.21446	344.03	379.17	1.9645	0.60912	0.83928	215.60	37.801	undefined	undefined
194.15	0.17288	1202.2	0.00083179	16.198	16.342	0.085981	0.94605	1.7282	1073.7	-0.24521	undefined	undefined	0.021485	4.9017	0.20401	344.46	379.73	1.9576	0.61193	0.84379	215.89	37.238	undefined	undefined
195.15	0.18229	1199.2	0.00083389	17.923	18.075	0.094843	0.94493	1.7295	1067.3	-0.24300	undefined	undefined	0.021250	5.1498	0.19418	344.88	380.28	1.9509	0.61476	0.84838	216.18	36.685	undefined	undefined
196.15	0.19209	1196.2	0.00083601	19.649	19.809	0.10367	0.94384	1.7309	1060.9	-0.24074	undefined	undefined	0.021016	5.4074	0.18493	345.30	380.82	1.9442	0.61761	0.85304	216.46	36.143	undefined	undefined
197.15	0.20229	1193.1	0.00083814	21.376	21.545	0.11245	0.94277	1.7324	1054.5	-0.23842	undefined	undefined	0.020783	5.6749	0.17621	345.72	381.37	1.9376	0.62048	0.85777	216.74	35.610	undefined	undefined
198.15	0.21290	1190.1	0.00084030	23.104	23.283	0.12120	0.94172	1.7340	1048.1	-0.23603	undefined	undefined	0.020550	5.9525	0.16800	346.14	381.90	1.9310	0.62338	0.86258	217.00	35.087	undefined	undefined
199.15	0.22394	1187.0	0.00084247	24.833	25.022	0.12990	0.94070	1.7356	1041.7	-0.23359	undefined	undefined	0.020318	6.2404	0.16025	346.55	382.44	1.9246	0.62629	0.86747	217.26	34.574	undefined	undefined
200.15	0.23542	1183.9	0.00084466	26.564	26.763	0.13858	0.93969	1.7373	1035.4	-0.23108	undefined	undefined	0.020086	6.5389	0.15293	346.96	382.96	1.9182	0.62922	0.87243	217.51	34.071	undefined	undefined
201.15	0.24735	1180.8	0.00084687	28.296	28.506	0.14721	0.93870	1.7391	1029.0	-0.22851	undefined	undefined	0.019855	6.8483	0.14602	347.37	383.49	1.9120	0.63218	0.87747	217.76	33.578	undefined	undefined
202.15	0.25974	1177.7	0.00084910	30.030	30.251	0.15581	0.93773	1.7409	1022.6	-0.22587	undefined	undefined	0.019625	7.1689	0.13949	347.77	384.00	1.9058	0.63515	0.88258	217.99	33.094	undefined	undefined
203.15	0.27260	1174.6	0.00085134	31.766	31.998	0.16438	0.93678	1.7429	1016.3	-0.22317	undefined	undefined	0.019395	7.5008	0.13332	348.17	384.51	1.8996	0.63814	0.88778	218.22	32.619	undefined	undefined
204.15	0.28594	1171.5	0.00085361	33.503	33.747	0.17291	0.93585	1.7449	1009.9	-0.22039	undefined	undefined	0.019165	7.8444	0.12748	348.57	385.02	1.8936	0.64114	0.89305	218.44	32.153	undefined	undefined
205.15	0.29978	1168.4	0.00085590	35.241	35.498	0.18141	0.93494	1.7470	1003.5	-0.21755	undefined	undefined	0.018936	8.2001	0.12195	348.96	385.52	1.8876	0.64416	0.89840	218.65	31.697	undefined	undefined
206.15	0.31413	1165.2	0.00085821	36.982	37.251	0.18988	0.93405	1.7492	997.18	-0.21464	undefined	undefined	0.018708	8.5680	0.11671	349.35	386.01	1.8817	0.64720	0.90384	218.86	31.249	undefined	undefined
207.15	0.32899	1162.1	0.00086055	38.724	39.007	0.19831	0.93318	1.7514	990.82	-0.21165	undefined	undefined	0.018480	8.9485	0.11175	349.74	386.50	1.8758	0.65025	0.90935	219.05	30.810	undefined	undefined
